Start_date,Mass_organics_STP,Mass_sulfate_STP,Mass_ammonium_STP,Mass_nitrate_STP,Mass_chloride_STP,Mass_ACSM_STP,Mass_SMPS_STP,Mass_BC_PSAP_STP,Mass_ACSM_PSAP_STP,Qc_ACSM_SMPS,P_SMPS,T_SMPS,RH_SMPS
2021-07-08 19:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1173,  0.1173, NaN, 925.50, 19.95, 38.08
2021-07-08 20:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1074,  0.1074, NaN, 924.58, 19.93, 37.76
2021-07-08 21:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1698,  0.1698, NaN, 924.08, 19.93, 37.90
2021-07-08 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.2670,  0.2670, NaN, 923.42, 19.99, 38.41
2021-07-08 23:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1693,  0.1693, NaN, 923.00, 20.00, 38.37
2021-07-09 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1108,  0.1108, NaN, 923.00, 20.07, 38.59
2021-07-09 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1286,  0.1286, NaN, 923.00, 20.07, 38.86
2021-07-09 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1686,  0.1686, NaN, 923.25, 20.16, 38.92
2021-07-09 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1950,  0.1950, NaN, 923.42, 20.29, 39.08
2021-07-09 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.2130,  0.2130, NaN, 923.08, 20.35, 39.14
2021-07-09 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.2080,  0.2080, NaN, 923.08, 20.35, 43.12
2021-07-09 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 922.58, 20.35, 39.75
2021-07-09 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1444,  0.1444, NaN, 921.92, 20.37, 39.15
2021-07-09 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1372,  0.1372, NaN, 921.58, 20.34, 39.47
2021-07-09 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1084,  0.1084, NaN, 921.50, 20.35, 39.25
2021-07-09 10:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1133,  0.1133, NaN, 921.33, 20.35, 38.99
2021-07-09 11:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0920,  0.0920, NaN, 922.00, 20.38, 38.18
2021-07-09 12:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 922.08, 20.35, 38.07
2021-07-09 13:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 922.67, 20.25, 38.11
2021-07-09 14:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 925.70, 20.25, 41.15
2021-07-09 15:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 924.58, 20.12, 40.03
2021-07-09 16:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 924.25, 20.01, 39.02
2021-07-09 17:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 925.92, 19.89, 38.98
2021-07-09 18:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 925.58, 19.84, 38.97
2021-07-09 19:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 923.75, 19.77, 38.88
2021-07-09 20:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 923.00, 19.88, 39.06
2021-07-09 21:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 922.75, 19.92, 39.09
2021-07-09 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 922.17, 19.96, 39.17
2021-07-09 23:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.83, 20.01, 39.25
2021-07-10 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.42, 20.02, 39.30
2021-07-10 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.92, 20.01, 39.22
2021-07-10 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.83, 20.10, 41.10
2021-07-10 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.92, 20.20, 38.86
2021-07-10 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.83, 20.32, 38.58
2021-07-10 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.00, 20.29, 38.45
2021-07-10 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.00, 20.33, 38.78
2021-07-10 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.58, 20.32, 39.12
2021-07-10 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.58, 20.32, 38.57
2021-07-10 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 920.67, 20.38, 38.56
2021-07-10 10:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 919.50, 20.32, 38.92
2021-07-10 11:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 917.83, 20.31, 46.32
2021-07-10 12:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 919.25, 20.30, 39.16
2021-07-10 13:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 920.17, 20.34, 39.35
2021-07-10 14:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 920.17, 20.21, 41.78
2021-07-10 15:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 919.17, 20.13, 40.94
2021-07-10 16:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 919.00, 20.06, 40.67
2021-07-10 17:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 918.67, 19.98, 40.33
2021-07-10 18:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 918.00, 19.88, 42.62
2021-07-10 19:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 918.33, 19.80, 42.11
2021-07-10 20:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 917.92, 19.83, 41.19
2021-07-10 21:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 916.92, 19.82, 40.65
2021-07-10 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 916.33, 19.99, 40.66
2021-07-10 23:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 916.42, 20.16, 40.42
2021-07-11 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 916.92, 20.31, 39.97
2021-07-11 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 917.33, 20.39, 39.68
2021-07-11 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 919.67, 24.45, 40.88
2021-07-11 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 922.67, 23.50, 38.20
2021-07-11 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.50, 21.48, 40.08
2021-07-11 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.08, 20.81, 40.28
2021-07-11 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 921.83, 20.53, 39.08
2021-07-11 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 926.50, 20.58, 37.48
2021-07-11 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 936.08, 20.53, 34.09
2021-07-11 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 940.08, 20.64, 32.17
2021-07-11 10:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 941.75, 20.52, 31.10
2021-07-11 11:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 942.42, 20.62, 31.08
2021-07-11 12:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN, NaN, 942.83, 20.52, 31.20
2021-07-11 13:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1520,  0.1520, NaN, 943.17, 20.60, 31.08
2021-07-11 14:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1473,  0.1473, NaN, 944.00, 20.50, 30.78
2021-07-11 15:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1409,  0.1409, NaN, 944.08, 20.35, 30.50
2021-07-11 16:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1276,  0.1276, NaN, 944.58, 20.27, 30.55
2021-07-11 17:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1175,  0.1175, NaN, 945.00, 20.23, 30.40
2021-07-11 18:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1055,  0.1055, NaN, 944.58, 20.20, 30.27
2021-07-11 19:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0970,  0.0970, NaN, 944.00, 20.16, 30.30
2021-07-11 20:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.0973,  0.0973, NaN, 944.00, 20.12, 30.27
2021-07-11 21:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.1770,  0.1770, NaN, 943.83, 20.12, 30.20
2021-07-11 22:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.3433,  0.3433, NaN, 943.25, 20.11, 30.22
2021-07-11 23:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.3925,  0.3925, NaN, 943.25, 20.15, 30.33
2021-07-12 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,  0.2329,  0.2329, NaN, 944.00, 20.16, 30.16
