Start_date,BsB10_STP,BsG10_STP,BsR10_STP,BbsB10_STP,BbsG10_STP,BbsR10_STP,T_neph_inlet10,RH_neph10,T_neph10,P_neph10,BsB1_STP,BsG1_STP,BsR1_STP,BbsB1_STP,BbsG1_STP,BbsR1_STP,T_neph_inlet1,RH_neph1,T_neph1,P_neph1,num_pts10,num_pts1
2019-12-01 00:00:00,00039.33,00035.27,00030.22,00004.75,00004.76,00004.53,00022.21,00021.33,00025.79,00980.20,00012.93,00011.80,00008.09,00001.31,00001.36,00000.84,00022.05,00022.61,00025.65,00964.79,42,5
2019-12-01 01:00:00,00033.20,00030.20,00026.12,00003.92,00004.08,00003.75,00022.36,00020.84,00025.96,00979.97,00013.26,00011.75,00008.03,00001.29,00001.27,00000.97,00022.49,00021.00,00026.03,00964.74,5,46
2019-12-01 02:00:00,00039.00,00034.74,00029.84,00004.64,00004.71,00004.51,00022.65,00019.64,00026.18,00979.92,00014.11,00012.73,00008.91,00001.44,00001.36,00001.02,00022.65,00020.20,00026.27,00964.39,5,46
2019-12-01 03:00:00,00038.30,00034.57,00029.87,00004.67,00004.64,00004.41,00022.75,00020.80,00026.38,00979.49,00015.56,00014.02,00009.88,00001.54,00001.54,00001.13,00022.75,00021.41,00026.32,00964.28,46,5
2019-12-01 04:00:00,00043.01,00038.70,00033.18,00005.24,00005.12,00004.88,00022.90,00020.00,00026.49,00979.35,00018.30,00016.51,00011.81,00001.80,00001.71,00001.34,00022.85,00018.80,00026.41,00963.80,46,5
2019-12-01 05:00:00,00025.73,00023.28,00019.50,00002.72,00003.09,00002.72,00022.95,00021.80,00026.55,00979.63,00016.00,00014.44,00010.04,00001.58,00001.54,00001.07,00022.99,00021.76,00026.59,00963.89,5,46
2019-12-01 06:00:00,00040.49,00036.26,00030.91,00004.99,00004.90,00004.52,00023.05,00020.32,00026.66,00979.62,00018.37,00016.62,00011.81,00001.91,00001.73,00001.36,00023.13,00020.20,00026.72,00964.01,5,46
2019-12-01 07:00:00,00048.37,00043.42,00037.36,00005.90,00005.79,00005.47,00023.38,00019.95,00026.95,00979.83,00019.34,00017.43,00012.24,00001.74,00002.00,00001.50,00023.25,00018.48,00026.85,00964.14,46,5
2019-12-01 08:00:00,00049.19,00044.12,00037.92,00006.03,00005.93,00005.54,00023.69,00019.60,00027.25,00980.35,00019.63,00017.63,00012.64,00002.11,00001.91,00001.51,00023.57,00018.44,00027.13,00964.53,46,5
2019-12-01 09:00:00,00040.23,00036.48,00030.85,00004.73,00004.79,00004.49,00023.85,00020.12,00027.45,00980.84,00017.81,00016.12,00011.24,00001.84,00001.71,00001.31,00023.93,00019.58,00027.50,00965.58,5,46
2019-12-01 10:00:00,00046.45,00041.48,00035.72,00005.58,00005.62,00005.19,00023.95,00019.61,00027.55,00981.00,00018.01,00016.20,00011.38,00001.87,00001.80,00001.31,00024.19,00019.29,00027.76,00965.59,5,46
2019-12-01 11:00:00,00036.74,00032.80,00027.93,00004.45,00004.36,00003.96,00024.46,00019.86,00028.04,00982.02,00018.75,00016.42,00011.90,00002.02,00001.77,00001.42,00024.45,00019.65,00027.97,00966.06,46,5
2019-12-01 12:00:00,00037.13,00033.16,00028.07,00004.43,00004.34,00004.05,00024.48,00019.86,00028.06,00982.55,00015.57,00013.79,00009.74,00001.45,00001.61,00001.17,00024.55,00019.25,00028.06,00966.92,46,5
2019-12-01 13:00:00,00044.74,00039.94,00034.15,00005.55,00005.40,00004.84,00024.55,00019.04,00028.06,00982.87,00017.17,00015.48,00010.76,00001.77,00001.68,00001.20,00024.55,00018.81,00028.06,00967.49,5,46
2019-12-01 14:00:00,00038.32,00034.45,00029.18,00004.65,00004.48,00004.35,00024.60,00018.72,00028.15,00983.20,00018.57,00016.80,00011.91,00001.94,00001.85,00001.44,00024.66,00017.61,00028.21,00967.76,5,46
2019-12-01 15:00:00,00042.60,00038.21,00032.86,00005.23,00005.18,00004.79,00024.89,00017.59,00028.40,00983.66,00017.54,00015.31,00011.34,00002.04,00001.52,00001.23,00024.75,00017.26,00028.28,00967.94,46,5
2019-12-01 16:00:00,00038.23,00034.46,00029.77,00004.74,00004.75,00004.33,00025.04,00017.63,00028.58,00984.09,00017.80,00016.26,00011.46,00001.70,00001.82,00001.32,00024.95,00017.47,00028.54,00968.48,46,5
2019-12-01 17:00:00,00043.78,00039.39,00034.12,00005.65,00005.45,00005.14,00025.14,00017.57,00028.65,00984.28,00017.12,00015.51,00011.10,00001.90,00001.76,00001.39,00025.19,00016.84,00028.71,00968.72,5,46
2019-12-01 18:00:00,00042.76,00038.29,00033.04,00005.44,00005.42,00004.82,00025.35,00017.31,00028.85,00984.52,00014.44,00013.25,00009.34,00001.54,00001.46,00001.06,00025.36,00016.32,00028.89,00969.13,5,46
2019-12-01 19:00:00,00037.25,00033.68,00028.94,00004.58,00004.57,00004.17,00025.53,00016.77,00029.06,00985.19,00013.95,00012.75,00009.18,00001.48,00001.46,00000.76,00025.45,00016.31,00028.97,00969.49,46,5
2019-12-01 20:00:00,00033.90,00030.62,00026.49,00004.21,00004.19,00003.81,00024.62,00018.31,00028.14,00985.08,00013.33,00012.39,00008.45,00001.26,00001.25,00000.96,00025.41,00017.03,00028.92,00969.48,46,5
2019-12-01 21:00:00,00032.46,00029.61,00025.47,00004.09,00004.19,00003.55,00024.95,00016.97,00028.46,00985.34,00013.98,00012.85,00009.13,00001.39,00001.41,00000.93,00025.18,00017.41,00028.67,00970.01,5,46
2019-12-01 22:00:00,00024.88,00022.65,00019.33,00002.93,00003.20,00002.87,00025.35,00017.70,00028.88,00985.74,00009.59,00008.85,00006.08,00000.85,00000.97,00000.56,00025.04,00018.07,00028.56,00970.69,5,46
2019-12-01 23:00:00,00025.52,00023.26,00020.25,00003.16,00003.29,00002.97,00024.67,00018.41,00028.15,00986.54,00009.13,00008.38,00005.76,00000.89,00000.93,00000.64,00024.30,00019.87,00027.80,00970.98,46,5
2019-12-02 00:00:00,00023.31,00021.03,00018.76,00002.87,00002.93,00002.77,00025.20,00018.05,00028.71,00987.24,00010.42,00009.60,00007.04,00000.89,00001.04,00000.77,00025.05,00017.40,00028.55,00971.47,42,5
2019-12-02 01:00:00,00022.66,00020.32,00018.56,00002.94,00002.98,00002.90,00025.35,00018.47,00028.89,00987.43,00007.96,00006.90,00005.29,00000.66,00000.80,00000.61,00025.44,00019.00,00028.97,00972.32,5,46
2019-12-02 02:00:00,00030.98,00027.77,00024.37,00003.96,00003.90,00003.68,00023.87,00018.79,00027.45,00987.76,00008.79,00007.54,00005.59,00000.83,00000.91,00000.74,00024.50,00018.95,00027.96,00972.38,5,46
2019-12-02 03:00:00,00024.93,00022.46,00019.99,00003.09,00003.28,00003.10,00025.13,00017.88,00028.61,00988.21,00011.85,00010.50,00007.73,00001.03,00001.18,00000.86,00024.95,00018.29,00028.39,00972.36,46,5
2019-12-02 04:00:00,00024.07,00021.69,00019.46,00002.96,00003.05,00002.95,00025.44,00018.54,00028.95,00988.44,00008.20,00007.10,00005.13,00000.50,00000.75,00000.51,00025.35,00018.60,00028.85,00972.67,46,5
2019-12-02 05:00:00,00020.04,00018.37,00016.38,00002.27,00002.65,00002.52,00024.01,00020.04,00027.54,00988.66,00007.31,00006.37,00004.76,00000.55,00000.74,00000.60,00024.51,00020.36,00028.01,00973.29,5,46
2019-12-02 06:00:00,00022.68,00020.44,00018.03,00002.80,00003.03,00002.79,00024.91,00020.20,00028.35,00989.35,00008.25,00007.22,00005.51,00000.73,00000.85,00000.73,00025.01,00019.71,00028.50,00974.02,5,46
2019-12-02 07:00:00,00022.94,00020.77,00018.47,00002.89,00002.96,00002.88,00025.26,00018.87,00028.78,00990.26,00008.19,00007.22,00005.76,00000.50,00000.92,00000.81,00025.15,00018.39,00028.65,00974.48,46,5
2019-12-02 08:00:00,00020.61,00018.61,00016.62,00002.46,00002.67,00002.57,00024.31,00020.69,00027.82,00990.68,00008.57,00007.61,00005.74,00000.80,00000.99,00000.54,00024.87,00019.55,00028.33,00975.30,46,5
2019-12-02 09:00:00,00022.59,00020.29,00018.46,00002.93,00002.92,00002.92,00024.71,00019.93,00028.18,00991.26,00007.46,00006.53,00004.99,00000.70,00000.77,00000.68,00024.98,00018.97,00028.44,00975.97,5,46
2019-12-02 10:00:00,00027.41,00024.65,00022.06,00003.28,00003.42,00003.48,00024.75,00020.27,00028.25,00991.71,00008.97,00007.60,00005.58,00000.82,00000.90,00000.71,00024.86,00019.88,00028.35,00976.50,5,46
2019-12-02 11:00:00,00025.53,00022.73,00020.25,00003.29,00003.31,00003.21,00024.30,00018.51,00027.79,00992.38,00009.81,00008.17,00006.00,00001.06,00001.04,00000.98,00024.02,00017.71,00027.52,00976.49,46,5
2019-12-02 12:00:00,00023.28,00020.75,00018.38,00003.02,00003.10,00003.05,00024.06,00018.66,00027.63,00992.96,00009.54,00008.10,00005.92,00000.82,00000.88,00001.00,00024.15,00019.08,00027.69,00977.19,46,5
