Start_date,BsB10_STP,BsG10_STP,BsR10_STP,BbsB10_STP,BbsG10_STP,BbsR10_STP,T_neph_inlet10,RH_neph10,T_neph10,P_neph10,BsB1_STP,BsG1_STP,BsR1_STP,BbsB1_STP,BbsG1_STP,BbsR1_STP,T_neph_inlet1,RH_neph1,T_neph1,P_neph1,num_pts10,num_pts1
2022-11-01 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.19,00059.14,00029.24,01004.81,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.15,00058.10,00029.25,00992.53,0,0
2022-11-01 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.25,00058.68,00029.27,01004.61,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.20,00058.27,00029.24,00990.53,0,0
2022-11-01 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.42,00057.85,00029.43,01004.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.34,00057.35,00029.37,00990.25,0,0
2022-11-01 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.30,00057.86,00029.34,01003.49,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.22,00057.01,00029.26,00989.45,0,0
2022-11-01 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.29,00060.60,00029.33,01002.71,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.44,00059.44,00029.45,00990.27,0,0
2022-11-01 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.15,00061.21,00029.25,01002.26,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.28,00060.82,00029.33,00988.08,0,0
2022-11-01 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.44,00061.34,00029.45,01001.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.33,00060.72,00029.37,00987.34,0,0
2022-11-01 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.24,00061.59,00029.30,01000.85,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.15,00061.00,00029.25,00986.84,0,0
2022-11-01 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.09,00062.08,00029.18,01000.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.15,00061.27,00029.25,00988.20,0,0
2022-11-01 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.44,00062.04,00029.44,01000.63,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00024.24,00061.79,00029.30,00986.62,0,0
