Start_date,BsB10_STP,BsG10_STP,BsR10_STP,BbsB10_STP,BbsG10_STP,BbsR10_STP,T_neph_inlet10,RH_neph10,T_neph10,P_neph10,BsB1_STP,BsG1_STP,BsR1_STP,BbsB1_STP,BbsG1_STP,BbsR1_STP,T_neph_inlet1,RH_neph1,T_neph1,P_neph1,num_pts10,num_pts1
2014-01-01 00:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.59,00074.79,00030.39,00999.35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 01:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.59,00074.67,00030.36,01000.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 02:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.43,00075.12,00030.23,01000.53,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 03:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.77,00073.64,00030.68,01000.37,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 04:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.38,00072.81,00030.29,00999.82,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 05:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.62,00071.18,00030.54,00999.34,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 06:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.78,00069.04,00030.80,00998.60,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 07:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.49,00070.14,00030.37,00998.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 08:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.62,00069.87,00030.54,00998.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 09:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.80,00069.57,00030.80,00999.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 10:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.41,00072.28,00030.30,01000.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
2014-01-01 11:00:00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,00027.73,00073.22,00030.65,01000.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,0,0
