Start_date,BsB10_STP,BsG10_STP,BsR10_STP,BbsB10_STP,BbsG10_STP,BbsR10_STP,T_neph_inlet10,RH_neph10,T_neph10,P_neph10,BsB1_STP,BsG1_STP,BsR1_STP,BbsB1_STP,BbsG1_STP,BbsR1_STP,T_neph_inlet1,RH_neph1,T_neph1,P_neph1,num_pts10,num_pts1
2018-01-01 00:00:00,00009.20,00006.51,00004.56,00001.32,00001.06,00000.80,00020.40,00012.86,00022.41,00997.97,00006.54,00004.26,00002.98,00000.62,00000.56,00000.32,00020.17,00012.77,00022.20,00986.59,43,5
2018-01-01 01:00:00,00010.70,00007.30,00004.76,00001.54,00001.15,00001.10,00020.30,00012.90,00022.35,00998.26,00009.86,00006.55,00004.00,00001.21,00000.98,00000.53,00020.37,00012.88,00022.37,00987.65,5,46
2018-01-01 02:00:00,00027.00,00023.23,00019.47,00004.59,00004.57,00003.95,00020.43,00012.70,00022.45,00998.67,00008.67,00006.00,00003.94,00001.04,00000.87,00000.55,00020.42,00012.69,00022.43,00987.91,5,46
2018-01-01 03:00:00,00009.33,00006.31,00004.09,00001.34,00001.00,00000.55,00020.45,00012.60,00022.49,00999.01,00007.78,00004.96,00002.81,00000.99,00000.73,00000.28,00020.58,00012.69,00022.59,00987.93,45,5
2018-01-01 04:00:00,00010.57,00007.41,00005.07,00001.57,00001.24,00000.79,00020.52,00012.66,00022.58,00999.83,00008.74,00005.59,00003.37,00000.78,00000.86,00000.48,00020.36,00012.51,00022.41,00988.61,47,5
2018-01-01 05:00:00,00009.63,00006.52,00004.14,00001.38,00001.05,00000.48,00020.38,00012.68,00022.47,01000.04,00008.74,00005.73,00003.54,00001.14,00000.86,00000.42,00020.58,00012.50,00022.62,00989.29,5,46
2018-01-01 06:00:00,00010.45,00007.23,00004.96,00001.48,00001.09,00000.72,00020.65,00012.68,00022.70,01000.43,00009.14,00005.91,00003.55,00001.31,00000.92,00000.45,00020.59,00012.52,00022.63,00989.64,5,46
2018-01-01 07:00:00,00011.59,00007.84,00005.08,00001.88,00001.40,00000.83,00020.56,00012.56,00022.65,01000.94,00008.85,00005.70,00003.17,00001.34,00000.90,00000.46,00020.70,00012.50,00022.72,00989.86,45,5
2018-01-01 08:00:00,00012.11,00008.18,00005.30,00001.97,00001.44,00000.95,00020.61,00012.72,00022.71,01001.80,00009.73,00006.27,00003.73,00001.46,00001.00,00000.54,00020.44,00012.68,00022.54,00990.73,46,5
2018-01-01 09:00:00,00013.61,00008.85,00005.37,00002.41,00001.72,00000.99,00020.70,00012.69,00022.81,01001.84,00012.96,00007.82,00004.27,00002.04,00001.46,00000.74,00020.57,00012.53,00022.66,00990.96,5,46
2018-01-01 10:00:00,00013.18,00008.63,00005.30,00002.28,00001.64,00001.09,00020.52,00012.50,00022.63,01001.86,00011.05,00006.77,00003.76,00001.63,00001.21,00000.58,00020.65,00012.34,00022.76,00990.93,5,46
2018-01-01 11:00:00,00013.04,00009.01,00006.00,00002.20,00001.76,00001.08,00020.58,00012.39,00022.73,01002.07,00010.70,00006.60,00003.73,00001.68,00001.13,00000.83,00020.74,00012.35,00022.86,00991.02,46,5
2018-01-01 12:00:00,00010.74,00007.28,00004.77,00001.79,00001.34,00000.79,00020.70,00012.01,00022.84,01002.18,00009.12,00005.73,00003.35,00001.37,00000.97,00000.40,00020.65,00012.12,00022.75,00991.15,46,5
2018-01-01 13:00:00,00010.25,00006.87,00004.53,00001.49,00001.27,00000.71,00020.67,00011.94,00022.81,01002.52,00009.74,00006.06,00003.58,00001.44,00001.03,00000.54,00020.69,00011.81,00022.82,00991.72,5,46
2018-01-01 14:00:00,00011.53,00007.67,00004.91,00001.80,00001.38,00000.77,00020.71,00011.80,00022.81,01002.88,00010.51,00006.45,00003.67,00001.50,00001.09,00000.61,00020.54,00011.80,00022.64,00992.05,5,46
2018-01-01 15:00:00,00010.84,00007.38,00004.83,00001.75,00001.32,00000.87,00019.99,00011.88,00022.10,01002.97,00009.69,00006.10,00003.44,00001.39,00000.96,00000.57,00020.00,00011.79,00022.14,00991.97,46,5
2018-01-01 16:00:00,00010.32,00007.01,00004.56,00001.62,00001.29,00000.80,00019.59,00012.02,00021.65,01002.71,00008.51,00005.20,00002.96,00001.28,00000.90,00000.48,00019.65,00011.93,00021.75,00991.75,46,5
2018-01-01 17:00:00,00010.23,00007.03,00004.75,00001.56,00001.33,00000.84,00019.65,00012.20,00021.61,01002.45,00008.06,00005.12,00002.93,00001.13,00000.83,00000.46,00019.72,00012.15,00021.69,00991.12,5,46
